Id;Name;Price;Liter price
21058;Saaremaa Vodka 80% 10x50cl PET;158.00 €;31.60 €/L
21059;Saaremaa Vodka 40% 10x50cl PET;83.00 €;16.60 €/L
21057;Viru Valge 40% 10x50cl  PET;80.99 €;16.20 €/L
21060;Captain Morgan Dark 40% 50cl;14.99 €;29.98 €/L
21065;Finlandia Cranberry 37;11.99 €;23.98 €/L
21067;Finlandia 40% 50cl;11.99 €;23.98 €/L
21066;Finlandia Lime 37;11.99 €;23.98 €/L
21070;Koskenkorva 40% 100cl;19.99 €;19.99 €/L
21102;Ballantines Finest 40% 100cl;20.99 €;20.99 €/L
21100;Ballantines Finest 40% 50cl PET;10.99 €;21.98 €/L
21114;Chivas Regal 12YO 40% 50cl BOX;20.99 €;41.98 €/L
21123;Grants 40% 50cl PET;12.50 €;25.00 €/L
21129;J.Walker Black Label 40% 50cl;27.99 €;55.98 €/L
21138;J.Walker Red Label 40% 100cl;21.99 €;21.99 €/L
21144;Jack Daniels Black 40% 100cl;32.99 €;32.99 €/L
21153;Jim Beam White Label 40% 300cl;112.00 €;37.33 €/L
21177;Absolut Peppar 40% 50cl;15.50 €;31.00 €/L
21181;Smirnoff Red 37;11.50 €;23.00 €/L
21251;Hennessy VS 40% 70cl;35.99 €;51.41 €/L
21284;St. Remy Authentic VSOP 36% 100cl;23.99 €;23.99 €/L
21290;Amaretto Disaronno 28% 50cl;15.50 €;31.00 €/L
21291;Amaretto Disaronno 28% 100cl;24.50 €;24.50 €/L
21323;Vana Tallinn 40% 4x50cl PET;40.99 €;20.50 €/L
21396;Moet & Chandon Brut Imperial Champagne 12% 75cl;36.99 €;49.32 €/L
21400;Absolut 40% 50cl;9.99 €;19.98 €/L
21405;Stolichnaya Premium Vodka  40% 50cl;10.50 €;21.00 €/L
21411;Esbjaerg  40% 100cl;17.99 €;17.99 €/L
21435;Koskenkorva Salmiakki 32% 50cl PET;9.99 €;19.98 €/L
21438;Tapio  39% 10x50cl PET;81.00 €;16.20 €/L
21465;Remy Martin XO Excellence 40% 70cl;163.00 €;232.86 €/L
21471;Dooleys Original Toffee & Vodka 17% 100cl;21.99 €;21.99 €/L
21474;Pisang Ambon 20% 100cl;19.99 €;19.99 €/L
21491;Cinzano Bianco 15% 100cl;9.99 €;9.99 €/L
21501;Koskenkorva 38% 10X50cl PET;97.99 €;19.60 €/L
21511;G.H. Mumm Cordon Rouge Brut Champagne 12% 75cl;29.99 €;39.99 €/L
21528;Galliano L Autentico 42;18.50 €;37.00 €/L
21536;Ballantines Finest 40% 300cl;78.00 €;26.00 €/L
21530;Aalborg Jubiloeums Akvavit 40% 70cl;25.50 €;36.43 €/L
21553;Kirsberry 14;8.99 €;11.99 €/L
21558;Pirita Herbal Liqueur 40% 50cl PET;9.50 €;19.00 €/L
21577;Viru Valge 40% 300cl BIB;52.99 €;17.66 €/L
21580;Jaloviina 38% 50cl PET;10.99 €;21.98 €/L
21594;Tarapaca Gran Reserva Cabernet Sauvignon 14% 75cl;10.50 €;14.00 €/L
21667;Stroh 60% 50cl PET;16.99 €;33.98 €/L
21703;Viru Valge 80% 10x50cl PET;149.00 €;29.80 €/L
21723;Smirnoff Ice 4% 27;1.50 €;5.45 €/L
21726;Torres 10YO Imperial Brandy 38% 100cl;26.99 €;26.99 €/L
21725;Aramis V Special Reserve 36% 50cl PET;8.75 €;17.50 €/L
21729;Red Bull Sugar Free 25cl;1.40 €;5.60 €/L
21730;Red Bull 25cl;1.40 €;5.60 €/L
21759;Coca-Cola 200cl PET;1.60 €;0.80 €/L
21763;Martell VSOP 40% 50cl;34.99 €;69.98 €/L
21760;Fanta Orange 200cl PET;1.60 €;0.80 €/L
21765;Henri Mounier VS 40% 50cl;19.99 €;39.98 €/L
21767;Kumala Cabernet Sauvignon-Shiraz 13% 300cl BIB;15.99 €;5.33 €/L
21776;Freixenet Cava Cordon Negro Seco 11;6.99 €;9.32 €/L
21777;Freixenet Cava Cordon Rosado Seco 12% 75cl;8.99 €;11.99 €/L
21775;Freixenet Cava Cordon Negro Brut 11;6.99 €;9.32 €/L
21779;Freixenet Cava Carta Nevada Dulce 11;6.50 €;8.67 €/L
21778;Freixenet Cava Carta Nevada Semi-Seco 11;6.50 €;8.67 €/L
21789;Eesti Standard Vodka Cranberry 37;8.99 €;17.98 €/L
21797;Chivas Regal 12YO 40% 450cl SWING;227.00 €;50.44 €/L
21798;Jameson 40% 450cl SWING;144.00 €;32.00 €/L
21796;Pernod Absinthe Superieure 68% 70cl;37.99 €;54.27 €/L
21802;Remy Martin VSOP 40% 300cl;202.99 €;67.66 €/L
21819;Royal Oporto Tawny Porto 19% 75cl;10.99 €;14.65 €/L
21820;Stroh 60% 100cl;32.99 €;32.99 €/L
21823;Famous Grouse 40% 450cl SWING;143.00 €;31.78 €/L
21844;Grants 40% 300cl SWING;94.99 €;31.66 €/L
21848;Olmeca Blanco 38% 100cl;28.99 €;28.99 €/L
21847;Olmeca Reposado 38% 100cl;30.99 €;30.99 €/L
21856;Jameson 40% 50cl PET;13.50 €;27.00 €/L
21861;Hardys Stamp Chardonnay Semillion 13% 75cl;7.50 €;10.00 €/L
21864;KWV Pinotage 14% 75cl;6.99 €;9.32 €/L
21863;KWV Chardonnay 13% 75cl;6.99 €;9.32 €/L
21871;Carlshamns Flaggpunsch 26% 50cl;12.99 €;25.98 €/L
21877;Masi Tupungato Passo Doble 14% 75cl;10.99 €;14.65 €/L
21876;Masi Tupungato Corbec 15% 75cl;25.99 €;34.65 €/L
21883;Riga Black Balsam 45% 50cl;12.99 €;25.98 €/L
21892;Sladkoje Igristoje 6% 75cl;2.50 €;3.33 €/L
21899;Morelos Blanco Tequila 38% 70cl;17.99 €;25.70 €/L
21898;Absolut 40% 175cl;43.99 €;25.14 €/L
21900;Medinet Vin Blanc 11% 100cl;6.99 €;6.99 €/L
21909;Stroh  40% 100cl;22.99 €;22.99 €/L
21910;Lapin Kulta 5;18.99 €;2.40 €/L
21918;Ararat 5YO 40% 50cl;15.99 €;31.98 €/L
21917;Havana Club 7YO 40% 70cl;23.99 €;34.27 €/L
21916;Teachers Highland Cream 40% 100cl;24.50 €;24.50 €/L
21924;Moselland Riesling Kabinett 7;6.99 €;9.32 €/L
21922;Moselland Riesling Trocken 11;6.99 €;9.32 €/L
21925;Happy Cat White Mosel Riesling 10% 50cl;8.50 €;17.00 €/L
21941;Gato Negro Sauvignon Blanc 12% 75cl;5.50 €;7.33 €/L
21948;Royal Oporto Ruby Porto 19% 75cl;10.99 €;14.65 €/L
21956;Harveys Bristol Cream Sherry 17;13.99 €;13.99 €/L
21059,Saaremaa Vodka 40% 10x50cl PET,85.00 €,17.00 €/L
21057,Viru Valge 40% 10x50cl  PET,80.99 €,16.20 €/L
21058,Saaremaa Vodka 80% 10x50cl PET,158.00 €,31.60 €/L
21060,Captain Morgan Dark 40% 50cl,14.99 €,29.98 €/L
21067,Finlandia 40% 50cl,11.99 €,23.98 €/L
21065,Finlandia Cranberry 37,5% 50cl,11.99 €,23.98 €/L
21066,Finlandia Lime 37,5% 50cl,11.99 €,23.98 €/L
21070,Koskenkorva 40% 100cl,19.99 €,19.99 €/L
21100,Ballantines Finest 40% 50cl PET,10.99 €,21.98 €/L
21102,Ballantines Finest 40% 100cl,21.99 €,21.99 €/L
21114,Chivas Regal 12YO 40% 50cl BOX,20.99 €,41.98 €/L
21129,Johnnie Walker Black Label 40% 50cl,27.99 €,55.98 €/L
21123,Grants 40% 50cl PET,12.50 €,25.00 €/L
21138,Johnnie Walker Red Label 40% 100cl,21.99 €,21.99 €/L
21144,Jack Daniels Black 40% 100cl,32.99 €,32.99 €/L
21153,Jim Beam White Label 40% 300cl,112.00 €,37.33 €/L
21177,Absolut Peppar 40% 50cl,15.50 €,31.00 €/L
21181,Smirnoff Red 37,5% 50cl,11.50 €,23.00 €/L
21251,Hennessy VS 40% 70cl,35.99 €,51.41 €/L
21284,St. Remy Authentic VSOP 36% 100cl,23.99 €,23.99 €/L
21291,Amaretto Disaronno 28% 100cl,24.50 €,24.50 €/L
21290,Amaretto Disaronno 28% 50cl,15.50 €,31.00 €/L
21323,Vana Tallinn 40% 4x50cl PET,40.99 €,20.50 €/L
21329,Bacardi Carta Negra 40% 50cl,Product Code: ,15.99 €
21332,Bacardi Carta Blanca 37,5% 50cl,Product Code: ,13.50 €
21342,Sinebrychoff Long Drink Grapefruit 5,5% 24x33cl,Product Code: ,18.99 €
21352,Martini Bianco 15% 100cl,Product Code: ,9.99 €
21356,Martini Extra Dry 15% 100cl,Product Code: ,9.99 €
21357,Martini Rosato 15% 100cl,Product Code: ,9.99 €
21360,Martini Rosso 15% 100cl,Product Code: ,9.99 €
21376,Santa Helena Varietal Chardonnay 13% 300cl BIB,Product Code: ,16.99 €
21382,Dreamer Late Harvest Cabernet Sauvignon Rose 11,5% 75cl,Product Code: ,4.99 €
21396,Moet & Chandon Brut Imperial Champagne 12% 75cl,36.99 €,49.32 €/L
21400,Absolut 40% 50cl,10.50 €,21.00 €/L
21405,Stolichnaya Premium Vodka  40% 50cl,10.50 €,21.00 €/L
21411,Esbjaerg  40% 100cl,17.99 €,17.99 €/L
21435,Koskenkorva Salmiakki 32% 50cl PET,9.99 €,19.98 €/L
21438,Tapio  39% 10x50cl PET,81.00 €,16.20 €/L
21447,Frontera Cabernet Sauvignon 12% 75cl,Product Code: ,5.50 €
21449,Gato Negro Cabernet Sauvignon 13% 75cl,Product Code: ,5.50 €
21451,Gato Negro Merlot 13% 75cl,Product Code: ,5.50 €
21456,Hartwall Original Long Drink 5,5% 24x33cl,Product Code: ,23.99 €
21458,Gato Negro Cabernet Sauvignon 13% 300cl BIB,Product Code: ,16.99 €
21465,Remy Martin XO Excellence 40% 70cl,163.00 €,232.86 €/L
21471,Dooleys Original Toffee & Vodka 17% 100cl,21.99 €,21.99 €/L
21474,Pisang Ambon 20% 100cl,19.99 €,19.99 €/L
21479,Dourthe Le Cardinal Merlot- Cabernet Sauvignon 13% 75cl,Product Code: ,7.50 €
21482,Primavera Rose 11% 75cl,Product Code: ,5.50 €
21486,Rizla Red Sigaretipaber 100 tk,Product Code: ,17.99 €
21491,Cinzano Bianco 15% 100cl,9.99 €,9.99 €/L
21501,Koskenkorva 38% 10X50cl PET,97.99 €,19.60 €/L
21511,G.H. Mumm Cordon Rouge Brut Champagne 12% 75cl,29.99 €,39.99 €/L
21512,Santa Helena Varietal Merlot 13% 300cl BIB,Product Code: ,16.99 €
21059,Saaremaa Vodka 40% 10x50cl PET,85.00 €,17.00 €/L
21058,Saaremaa Vodka 80% 10x50cl PET,158.00 €,31.60 €/L
21057,Viru Valge 40% 10x50cl  PET,80.99 €,16.20 €/L
21067,Finlandia 40% 50cl,11.99 €,23.98 €/L
21060,Captain Morgan Dark 40% 50cl,14.99 €,29.98 €/L
21065,Finlandia Cranberry 37,5% 50cl,11.99 €,23.98 €/L
21066,Finlandia Lime 37,5% 50cl,11.99 €,23.98 €/L
21070,Koskenkorva 40% 100cl,19.99 €,19.99 €/L
21100,Ballantines Finest 40% 50cl PET,10.99 €,21.98 €/L
21102,Ballantines Finest 40% 100cl,21.99 €,21.99 €/L
21114,Chivas Regal 12YO 40% 50cl BOX,20.99 €,41.98 €/L
21123,Grants 40% 50cl PET,12.50 €,25.00 €/L
21129,Johnnie Walker Black Label 40% 50cl,27.99 €,55.98 €/L
21138,Johnnie Walker Red Label 40% 100cl,21.99 €,21.99 €/L
21144,Jack Daniels Black 40% 100cl,32.99 €,32.99 €/L
21153,Jim Beam White Label 40% 300cl,112.00 €,37.33 €/L
21177,Absolut Peppar 40% 50cl,15.50 €,31.00 €/L
21181,Smirnoff Red 37,5% 50cl,11.50 €,23.00 €/L
